NAME	a
SESSION	0
BUILDING	bakery
ITEM	apron
ITEM	bagels
ITEM	baking_soda
ITEM	bread
ITEM	cake
ITEM	canolli
ITEM	chocolate_chips
ITEM	cookies
ITEM	croissant
ITEM	doughnut
ITEM	flour
ITEM	muffins
ITEM	roll
ITEM	sugar
BUILDING	barber_shop
ITEM	blow_dryer
ITEM	broom
ITEM	brushes
ITEM	cape
ITEM	chair
ITEM	comb
ITEM	conditioner
ITEM	curling_iron
ITEM	dustpan
ITEM	hair_spray
ITEM	hair_straightener
ITEM	mirror
ITEM	razor
ITEM	scissors
ITEM	shampoo
ITEM	shaving_cream
ITEM	shears
ITEM	soap
ITEM	towels
ITEM	trash_can
BUILDING	bike_shop
ITEM	back_pack
ITEM	bell
ITEM	breaks
ITEM	chain
ITEM	decals
ITEM	handle_bar
ITEM	helmet
ITEM	light
ITEM	locks
ITEM	paint
ITEM	pump
ITEM	reflectors
ITEM	tires
ITEM	training_wheels
ITEM	water_bottle
BUILDING	cafe
ITEM	chocolate
ITEM	coffee
ITEM	cream
ITEM	cups
ITEM	fruit
ITEM	half-and-half
ITEM	hot_chocolate
ITEM	milk
ITEM	napkins
ITEM	pastries
ITEM	scones
ITEM	straws
ITEM	sweet-n-low
ITEM	syrup
ITEM	tea
BUILDING	clothing_store
ITEM	dress
ITEM	hangers
ITEM	head_band
ITEM	jacket
ITEM	jeans
ITEM	laundry_bag
ITEM	pants
ITEM	pins
ITEM	purse
ITEM	robe
ITEM	sandals
ITEM	scarf
ITEM	shirts
ITEM	shoes
ITEM	shorts
ITEM	skirt
ITEM	socks
ITEM	stockings
ITEM	suit
ITEM	sweatshirt
ITEM	swim_suits
ITEM	tank_top
ITEM	tie
ITEM	underwear
ITEM	vest
BUILDING	dentist
ITEM	computer
ITEM	cotton_balls
ITEM	dentist's_chair
ITEM	drill
ITEM	floss
ITEM	fluoride
ITEM	lollipops
ITEM	mouthwash
ITEM	pick
ITEM	retainer
ITEM	syringe
ITEM	toothbrush
ITEM	toothpaste
ITEM	x-ray_machine
BUILDING	craft_shop
ITEM	canvas
ITEM	confetti
ITEM	construction_paper
ITEM	embroidery
ITEM	fabric
ITEM	glue
ITEM	markers
ITEM	needle
ITEM	pastels
ITEM	popsicle_sticks
ITEM	ribbon
ITEM	saw
ITEM	stickers
ITEM	string
ITEM	styrofoam
ITEM	tape
ITEM	thread
ITEM	tracing_paper
ITEM	yarn
BUILDING	grocery_store
ITEM	apples
ITEM	asparagus
ITEM	bags
ITEM	beans
ITEM	blueberries
ITEM	bottled_water
ITEM	boxes
ITEM	carrots
ITEM	cash_register
ITEM	cereal
ITEM	cold_cuts
ITEM	containers
ITEM	eggs
ITEM	grapes
ITEM	ham
ITEM	jello
ITEM	juice
ITEM	kiwi
ITEM	oatmeal
ITEM	orange
ITEM	orange_juice
ITEM	pears
ITEM	peas
ITEM	produce
ITEM	raisins
ITEM	raspberries
ITEM	shopping_cart
ITEM	strawberries
ITEM	yogurt
BUILDING	jewelry_store
ITEM	adhesive
ITEM	amethyst
ITEM	beads
ITEM	bracelet
ITEM	clamp
ITEM	diamond
ITEM	earrings
ITEM	emerald
ITEM	gold
ITEM	hair_clip
ITEM	necklace
ITEM	pearls
ITEM	pendant
ITEM	platinum
ITEM	rings
ITEM	rubies
ITEM	sapphire
ITEM	silver
ITEM	soldering_iron
ITEM	tweezers
ITEM	watch
BUILDING	florist
ITEM	cards
ITEM	chrysanthemum
ITEM	daffodils
ITEM	daisies
ITEM	ferns
ITEM	fertilizer
ITEM	flowers
ITEM	hose
ITEM	lilies
ITEM	mop
ITEM	orchids
ITEM	peonies
ITEM	plastic_wrap
ITEM	pots
ITEM	roses
ITEM	seeds
ITEM	soil
ITEM	sunflower
ITEM	tulips
ITEM	vase
ITEM	water
ITEM	watering_can
ITEM	wrapping_paper
BUILDING	hardware_store
ITEM	bolts
ITEM	hammer
ITEM	level
ITEM	lumber
ITEM	nailgun
ITEM	nails
ITEM	nuts
ITEM	pipes
ITEM	pliers
ITEM	sandpaper
ITEM	screen
ITEM	screwdriver
ITEM	screws
ITEM	spackle
ITEM	tape_measure
ITEM	tile
ITEM	toolbox
